"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","creates()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.orderTest","com.ust.sdet.tests.orderTest","creates"
"","27","counts()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.tests.orderTest","com.ust.sdet.tests.orderTest","counts"
